date,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
1872-02-05,2,1.7,-11.4,-4.9,0.0,0.0
1872-02-06,2,2.25,-5.85,-1.8,7.25,0.0
1872-02-07,2,2.25,-11.65,-4.75,0.0,0.0
1872-02-08,2,-6.4,-18.9,-12.65,0.0,0.0
1872-02-09,2,-1.7,-12.25,-7.0,0.0,0.0
1872-02-10,2,-0.8,-15.85,-8.35,0.0,0.0
1872-02-11,2,1.7,-11.4,-4.85,0.0,0.0
1872-02-12,2,2.5,-8.65,-3.1,0.0,0.0
1872-02-13,2,1.4,-7.5,-3.05,0.0,0.0
1872-02-14,2,-1.65,-5.85,-3.75,2.8,0.0
1872-02-15,2,-0.3,-3.6,-2.0,5.75,0.0
1872-02-16,2,-0.6,-3.9,-2.3,8.0,0.0
1872-02-17,2,-1.1,-9.7,-5.45,0.4,0.0
1872-02-18,2,-4.15,-14.7,-9.45,0.0,0.0
1872-02-19,2,1.95,-13.6,-5.85,0.0,0.0
1872-02-20,2,2.8,-15.0,-6.1,0.0,0.0
1872-02-21,2,3.05,-10.0,-3.5,0.0,0.0
1872-02-22,2,-1.4,-12.2,-6.8,0.15,0.0
1872-02-23,2,-11.65,-20.3,-16.0,0.15,0.0
1872-02-24,2,-1.7,-12.2,-7.0,0.0,0.0
1872-02-25,2,1.95,-4.15,-1.15,7.35,0.0
1872-02-26,2,1.7,-13.05,-5.7,5.85,0.0
1872-02-27,2,-11.4,-18.05,-14.75,1.25,0.0
1872-02-28,2,-2.75,-12.75,-7.8,3.8,0.0
1872-02-29,2,-6.15,-11.4,-8.8,0.0,0.0
1872-03-01,2,-1.95,-11.65,-6.85,1.4,0.0
1872-03-02,2,-1.95,-9.15,-5.6,0.5,0.0
1872-03-03,2,-4.45,-13.35,-8.9,1.0,0.0
1872-03-04,2,1.65,-14.15,-6.25,0.15,0.0
1872-03-05,2,0.55,-23.05,-11.25,17.8,0.0
1872-03-06,2,-17.5,-25.55,-21.55,10.8,0.0
1872-03-07,2,-9.15,-20.0,-14.6,0.0,0.0
1872-03-08,2,-4.15,-11.4,-7.8,0.0,0.0
1872-03-09,2,-1.4,-12.5,-7.0,0.0,0.0
1872-03-10,2,2.25,-6.95,-2.4,10.4,0.0
1872-03-11,2,2.75,-5.0,-1.15,26.15,0.0
1872-03-12,2,-2.8,-16.65,-9.75,2.55,0.0
1872-03-13,2,-2.8,-16.65,-9.75,10.2,0.0
1872-03-14,2,-0.55,-14.15,-7.4,1.25,0.0
1872-03-15,2,-0.85,-12.2,-6.55,7.9,0.0
1872-03-16,2,-6.95,-17.25,-12.1,1.15,0.0
1872-03-17,2,-1.4,-12.8,-7.1,0.0,0.0
1872-03-18,2,0.3,-13.3,-6.5,0.0,0.0
1872-03-19,2,-5.25,-14.7,-10.0,2.8,0.0
1872-03-20,2,-7.5,-16.4,-11.95,0.0,0.0
1872-03-21,2,-5.55,-17.25,-11.45,0.0,0.0
1872-03-22,2,-3.6,-15.25,-9.45,0.0,0.0
1872-03-23,2,-0.3,-13.9,-7.1,0.0,0.0
